filename,filepath,random_seed,alpha,c1,H,Latitude_Sampling,Longitude_Sampling,type
S01_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.1,1.0,5000,10000,TOPO
S01_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.0,0.4,5000,10000,COLOSHAD
S01_A20_C10_H07_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.1,0.7,5000,10000,TOPO
S01_A20_C10_H07_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.1,0.7,5000,10000,COLOFLAT
S01_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.05,0.4,5000,10000,TOPO
S01_A20_C00_H07_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.0,0.7,5000,10000,COLOSHAD
S01_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,/data/S01/,S01,2.0,0.1,1.0,5000,10000,GRAYSHAD
S01_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.1,0.4,5000,10000,COLOSHAD
S01_A20_C10_H07_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.1,0.7,5000,10000,COLOSHAD
S01_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,/data/S01/,S01,2.0,0.0,1.0,5000,10000,GRAYFLAT
S01_A20_C00_H07_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.0,0.7,5000,10000,TOPO
S01_A20_C05_H07_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.05,0.7,5000,10000,COLOFLAT
S01_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.05,0.4,5000,10000,COLOSHAD
S01_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.0,1.0,5000,10000,TOPO
S01_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.1,0.4,5000,10000,TOPO
S01_A20_C00_H07_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.0,0.7,5000,10000,COLOFLAT
S01_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,/data/S01/,S01,2.0,0.05,1.0,5000,10000,GRAYSHAD
S01_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.0,0.4,5000,10000,COLOFLAT
S01_A20_C10_H04_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.1,0.4,5000,10000,COLOFLAT
S01_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.05,0.7,5000,10000,TOPO
S01_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,/data/S01/,S01,2.0,0.05,0.7,5000,10000,COLOSHAD
S01_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,/data/S01/,S01,2.0,0.05,0.4,5000,10000,COLOFLAT
S01_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,/data/S01/,S01,2.0,0.0,1.0,5000,10000,GRAYSHAD
S01_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.0,0.4,5000,10000,TOPO
S01_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,/data/S01/,S01,2.0,0.05,1.0,5000,10000,GRAYFLAT
S01_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,/data/S01/,S01,2.0,0.05,1.0,5000,10000,TOPO
S01_A20_C10_H10_LAT5000_LON10000GRAYFLAT.hdf5,/data/S01/,S01,2.0,0.1,1.0,5000,10000,GRAYFLAT
S04_A20_C00_H07_LAT5000_LON10000COLOFLAT.hdf5,/data/S04/,S04,2.0,0.0,0.7,5000,10000,COLOFLAT
S04_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,/data/S04/,S04,2.0,0.05,0.7,5000,10000,COLOSHAD
S04_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,/data/S04/,S04,2.0,0.05,1.0,5000,10000,TOPO
S04_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,/data/S04/,S04,2.0,0.05,0.4,5000,10000,TOPO
S04_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,/data/S04/,S04,2.0,0.05,0.7,5000,10000,TOPO
S04_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,/data/S04/,S04,2.0,0.0,1.0,5000,10000,TOPO
S04_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,/data/S04/,S04,2.0,0.0,0.4,5000,10000,TOPO
S04_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,/data/S04/,S04,2.0,0.0,1.0,5000,10000,GRAYSHAD
S04_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,/data/S04/,S04,2.0,0.05,1.0,5000,10000,GRAYSHAD
S04_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,/data/S04/,S04,2.0,0.0,0.4,5000,10000,COLOSHAD
S04_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,/data/S04/,S04,2.0,0.0,1.0,5000,10000,GRAYFLAT
S04_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,/data/S04/,S04,2.0,0.05,0.4,5000,10000,COLOFLAT
