filename,filepath,random_seed,alpha,C1,H,latitude_sampling,longitude_sampling,content_type
S07_A14_C00_H01_LAT2001_LON4000COLOFLAT.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.1,2001,4000,COLOFLAT
S07_A14_C00_H01_LAT2001_LON4000COLOSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.1,2001,4000,COLOSHAD
S07_A14_C00_H01_LAT2001_LON4000GRAYFLAT.png,TextureGrayflat/,S07,1.4,0.0,0.1,2001,4000,GRAYFLAT
S07_A14_C00_H01_LAT2001_LON4000GRAYSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.1,2001,4000,GRAYSHAD
S07_A14_C00_H01_LAT2001_LON4000TOPO.fits,VariousParameters/A14/,S07,1.4,0.0,0.1,2001,4000,TOPO
S07_A14_C00_H02_LAT2001_LON4000COLOFLAT.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.2,2001,4000,COLOFLAT
S07_A14_C00_H02_LAT2001_LON4000COLOSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.2,2001,4000,COLOSHAD
S07_A14_C00_H02_LAT2001_LON4000GRAYFLAT.png,TextureGrayflat/,S07,1.4,0.0,0.2,2001,4000,GRAYFLAT
S07_A14_C00_H02_LAT2001_LON4000GRAYSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.2,2001,4000,GRAYSHAD
S07_A14_C00_H02_LAT2001_LON4000TOPO.fits,VariousParameters/A14/,S07,1.4,0.0,0.2,2001,4000,TOPO
S07_A14_C00_H03_LAT2001_LON4000COLOFLAT.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.3,2001,4000,COLOFLAT
S07_A14_C00_H03_LAT2001_LON4000COLOSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.3,2001,4000,COLOSHAD
S07_A14_C00_H03_LAT2001_LON4000GRAYFLAT.png,TextureGrayflat/,S07,1.4,0.0,0.3,2001,4000,GRAYFLAT
S07_A14_C00_H03_LAT2001_LON4000GRAYSHAD.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.3,2001,4000,GRAYSHAD
S07_A14_C00_H03_LAT2001_LON4000TOPO.fits,VariousParameters/A14/,S07,1.4,0.0,0.3,2001,4000,TOPO
S07_A14_C00_H04_LAT2001_LON4000COLOFLAT.png,VariousParameters/A14/Textures/,S07,1.4,0.0,0.4,2001,4000,COLOFLAT
